Life expectancy ,Adult Mortality,Alcohol, BMI ,Total expenditure, HIV/AIDS,GDP,Income composition of resources,Schooling
56.1,288,4.5,15.6,6.77,1.5,569.7612784,0.345,5.4
55.3,293,4.58,15.1,6.63,1.7,475.11122,0.334,4.9
54.3,32,4.73,14.6,6.58,2,422.6332374,0.325,4.7
53.3,313,4.88,14.2,6.87,2.3,46.998871,0,4.3
52.4,323,4.54,13.7,6.45,2.5,371.323865,0,3.9
51.6,332,4.58,13.3,5.61,2.9,332.344351,0,3.8
51,338,4.53,12.9,5.26,3.2,26.7635413,0,3.6
56,344,4.56,12.5,4.85,3.6,235.4912324,0,3.5
51,348,3.71,12.2,5.6,4,226.4759814,0,3.4
59.6,288,,18.7,,0.7,33.681223,0.406,10.6
59.1,297,0.01,18.2,7.54,0.7,312.7489794,0.404,10.6
58.6,33,0.01,17.6,8.3,1,282.7555252,0.398,10.5
58,312,0.01,17.1,8.21,1.2,265.285651,0.393,10.3
57.4,321,4.16,16.6,8.58,1.5,26.479973,0.385,9.9
56.8,33,4.16,16.1,8.82,1.9,231.1943256,0.361,9.3
56.2,338,4.05,15.7,6.96,2.4,24.944652,0.336,8.6
55.3,35,4.33,15.2,7.86,2.9,196.2472628,0.319,7.9
54.8,355,4.54,14.8,1.3,3.4,17.79995,0.309,7.2
54.1,361,4.5,14.5,11.49,3.8,165.8794176,0.29,5.9
53.4,369,5.54,14.1,9.84,4.3,15.57434,0.286,5.6
52.6,378,5.72,13.8,7.1,4.8,127.4296648,0.279,5.2
51.9,387,5.84,13.5,5.25,5.1,112.849373,0.276,4.7
51.5,387,5.98,13.3,5.15,5.2,122.4335893,0.268,4.4
51.3,385,6.09,13,4.96,5.3,133.7427689,0.268,4.5
58,386,6.61,12.8,4.98,5.2,135.9984455,0.268,4.5
53.3,397,,28,,1.9,,,
52.8,47,0.01,27.4,5.72,2,,,
52.3,412,3.15,26.8,5.81,2.4,,,
52,415,3.24,26.2,6.14,2.9,,,
51.7,419,3.13,25.6,6.42,3.3,,,
51.5,417,3.15,25,6.32,3.3,,,
51,426,2.92,24.4,6.41,3.7,,,
54,437,2.69,23.8,6.21,4.1,,,
49.9,443,2.58,23.2,6.35,5.3,,,
49.4,452,2.65,22.6,5.87,5.8,,,
48.7,466,3.11,22.1,5.39,6.1,,,
48.2,472,3.08,21.5,5.24,6.5,,,
48,473,3.12,2.9,4.65,6.7,,,
47.7,473,3.13,2.4,4.47,6.9,,,
47.8,467,3.15,19.9,4.85,7,,,
47.9,461,3.45,19.4,6,7.1,,,
73.3,114,,31.3,,0.2,2954.119467,0.646,13.5
73,117,0.01,3.5,4.76,0.2,3529.61843,0.643,13.5
72.8,12,0.01,29.7,4.29,0.2,3558.796314,0.643,13.6
72.7,121,0.01,29,4.61,0.3,348.482762,0.636,13.2
72.6,122,5.07,28.2,4.6,0.3,367.429453,0.632,13.1
72.5,123,4.75,27.5,4.83,0.4,3312.825985,0.627,12.7
72.4,124,4.45,26.8,4.24,0.4,3444.5566,0.621,12.4
72.4,124,4.16,26.2,3.96,0.4,3638.95946,0.615,12.2
72.3,126,5.28,25.5,4.3,0.6,3112.285712,0.602,11.9
72.1,129,4.25,24.9,5.11,0.6,234.28992,0.596,11.9
71.8,134,4.26,24.3,4.86,0.8,248.13459,0.582,11.2
71.4,14,4.19,23.7,5.6,0.8,1976.45856,0.574,11.1
71.1,144,4.16,23.2,5,0.9,1768.92132,0.572,11.3
77,148,3.82,22.6,5.17,0.8,1373.515636,0.569,11.3
73,152,3.81,22.1,5.19,0.8,1268.884564,0.562,11
69.9,155,3.49,21.5,4.81,0.8,1239.377855,0,11.3
68.7,174,,19.6,,0.2,1163.18977,0.558,10.9
68.3,179,0.01,18.9,5.68,0.2,198.687123,0.553,10.9
67.8,183,0.01,18.2,5.93,0.2,128.419568,0.546,10.8
67.4,186,0.01,17.6,6.24,0.3,95.244132,0.54,10.7
67,19,2.12,17,5.64,0.3,882.491462,0.533,10.7
66.6,192,2.2,16.4,5.95,0.5,785.6928841,0.519,10.6
66.1,195,2.13,15.9,6.36,0.6,738.2326684,0.52,10.5
65.6,199,2.24,15.3,5.55,0.7,745.7877873,0.511,10.5
65,24,2.08,14.8,3.75,0.9,631.675789,0.495,10.3
64.1,216,2.03,14.3,4.48,1.1,539.8791529,0.483,10.1
62.9,234,1.99,13.9,5.84,1.4,474.2238766,0.47,10
61.5,253,1.38,13.5,6.43,1.7,48.615184,0.458,9.7
63,268,1.44,13.1,6.74,1.9,362.4213785,0.445,9.3
59.3,273,1.43,12.8,5.95,2.1,339.676984,0.427,8.2
58.5,273,1.71,12.4,5.7,2.2,321.22634,0.412,7.6
57.7,274,1.51,12.1,5.87,2.1,3.685949,0.401,7.2
57.3,357,,29,,3.5,1244.429421,0.514,10.4
56.7,366,0.01,28.4,4.1,3.7,1441.1417,0.507,10.4
56.4,364,0.01,27.8,4.29,4,1365.34419,0.501,10.4
55.9,369,0.01,27.2,4.34,4.6,1255.648189,0.496,10.4
55.6,371,6.19,26.6,3.96,4.9,1295.649726,0.486,10
55.3,37,6.15,26,5.28,5.5,1182.869227,0.48,9.7
54.8,373,5.89,25.4,5.7,6.3,123.19538,0.473,9.2
54.2,382,5.9,24.9,5.18,6.7,1233.524316,0.466,8.8
53.6,395,5.44,24.4,4.76,7,111.71186,0.456,8
53.3,394,5.22,23.8,4.69,7.2,12.989164,0.456,8.2
52.8,4,5.03,23.3,4.75,7.4,952.1872484,0.456,8.3
52.1,412,4.71,22.8,4.73,7.5,93.211716,0.455,8.2
51.8,412,4.64,22.3,4.97,7.7,824.8689393,0.452,8.1
51.6,47,4.58,21.8,4.86,7.8,676.397661,0.452,8.4
51.5,41,4.43,21.3,4.7,7.9,614.6729339,0.437,7.1
51.4,394,3.91,2.9,4.48,7.7,68.414399,0.433,6.9
82.2,64,,67,,0.1,43315.744,0.919,16.3
82,65,8.1,66.4,1.45,0.1,544.43376,0.912,15.9
81.8,67,8.2,65.8,1.67,0.1,52413.72116,0.909,15.9
81.6,68,8.3,65.3,1.78,0.1,52496.69487,0.907,15.9
81.5,68,8.2,64.7,1.82,0.1,5282.2176,0.903,15.9
81.2,7,8.4,64.1,11.2,0.1,47447.4762,0.898,15.9
81,72,8.4,63.6,11.17,0.1,4773.45436,0.898,15.9
87,74,8.3,63,1.3,0.1,46596.33599,0.897,15.8
85,74,8.3,62.5,9.83,0.1,44544.5268,0.894,15.8
85,75,8.2,61.9,9.75,0.1,4386.69948,0.891,15.8
81,76,8,61.3,9.57,0.1,36189.58838,0.886,15.8
80,77,7.8,6.6,9.56,0.1,31979.87195,0.881,15.8
79.7,78,7.7,6,9.54,0.1,28172.14883,0.877,15.8
79.5,79,7.7,59.3,9.37,0.1,24167.8431,0.872,15.8
79.4,8,7.6,58.5,9.1,0.1,23691.59472,0.867,15.8
79.1,82,7.6,57.8,8.67,0.1,24124.16917,0.864,15.9
52.5,397,,22.7,,4.4,348.381417,0.347,7.1
58,437,0.01,22.1,4.2,4.5,377.132274,0.345,7.1
49.9,451,0.01,21.6,3.82,5.1,337.4849614,0.37,7.1
53,439,0.01,21.2,3.62,5.1,486.41114,0.366,7.1
49.8,443,1.66,2.7,3.73,5.8,494.336779,0.361,6.8
49.2,446,1.67,2.2,3.9,6.6,446.4434494,0.352,6.6
48.6,453,1.56,19.8,3.58,7.3,449.961839,0.345,6.4
47.6,477,1.52,19.4,4.3,8.3,456.8614334,0.338,6.3
46.8,495,1.5,19,4.4,9,397.148467,0.33,6.2
46.3,56,1.54,18.6,3.99,10,347.673678,0.323,6
45.9,511,1.5,18.2,4.29,11.2,327.1149461,0.319,5.9
45.7,512,1.5,17.9,4.1,12,313.21598,0.315,5.7
45.7,51,1.49,17.5,4.31,12.8,286.25819,0.316,5.6
45.6,58,1.47,17.2,4.16,13.4,253.768343,0.315,5.4
45.6,54,1.52,16.8,3.95,13.9,243.1586486,0.314,5.3
46,49,1.51,16.5,4.24,14.3,243.5429317,0.312,5.2
53.1,356,,19.1,,2.8,777.248751,0.394,7.3
52.6,362,0.01,18.7,3.62,2.9,125.998515,0.39,7.3
52.2,366,0.64,18.2,3.42,3.1,986.13177,0.387,7.3
51.8,367,0.62,17.9,3,3.6,973.472574,0.381,7.3
51.6,365,0.56,17.5,3.17,3.9,989.2363633,0.37,6.7
51.2,364,0.5,17.1,2.95,4.1,896.5697341,0.36,6.7
57,37,0.47,16.7,3.31,4.4,84.455939,0.343,6.3
49.6,394,0.45,16.4,2.92,4.7,929.772391,0.338,6
49.4,394,0.42,16.1,3.35,4.9,81.683884,0.306,5.7
48.5,414,0.41,15.7,3.32,5.1,712.1847694,0.303,5.5
48.6,46,0.42,15.4,3.91,5.2,66.2421396,0.306,5.6
48.5,45,0.34,15.1,5.72,5.2,454.6765879,0.301,5.6
48.4,43,0.42,14.8,5.49,5.1,292.5914364,0.284,5.4
48.1,43,0.36,14.4,8.33,5,22.854821,0.303,5.1
48,4,0.3,14.1,6.9,4.8,197.3156442,0.3,4.9
47.6,44,0.25,13.9,6.28,4.6,166.231785,0,4.7
85,82,,63.8,,0.1,13653.2264,0.845,16.3
83,83,7.16,63.1,7.79,0.1,14817.37778,0.841,16.2
81,84,7.2,62.5,7.53,0.1,15941.39722,0.831,15.6
79.9,84,6.76,61.8,7.24,0.1,15431.9293,0.826,15.5
79.8,86,7.26,61.2,7,0.1,1475.69242,0.82,15.4
79.1,89,7.93,6.6,6.97,0.1,1286.17764,0.815,15.2
79.3,91,7.67,59.9,7.39,0.1,1243.32824,0.816,15.3
79.6,88,7.31,59.3,6.87,0.1,1781.3668,0.804,15.2
78.9,9,7.39,58.7,6.35,0.1,1526.87746,0.797,14.8
78.9,91,7.33,58.1,6.18,0.1,9484.681227,0.796,14.9
78.4,93,7.57,57.4,6.69,0.1,7615.3468,0.79,14.6
78,97,6.32,56.8,6.93,0.1,621.828325,0.781,14.3
77.9,1,6.37,56.1,7.34,0.1,4787.699532,0.775,14
77.8,11,6.06,55.4,6.48,0.1,4463.545867,0.768,13.9
77.3,16,6.1,54.7,6.51,0.1,4595.666327,0.761,13.7
77.3,13,6.24,54,6.4,0.1,511.368479,0.755,13.5
76.1,85,,32.9,,0.1,869.211938,0.734,13.5
75.8,86,5.78,31.9,5.55,0.1,7683.5238,0.723,13.1
75.6,88,5.79,3.9,5.39,0.1,777.77594,0.713,12.7
75.4,89,5.74,3,5.26,0.1,6337.882993,0.703,12.4
75.2,91,5.63,29,5.3,0.1,5633.79616,0.7,12.8
75,92,5.75,28.1,4.89,0.1,456.512487,0.691,12.5
74.9,93,4.88,27.3,5.8,0.1,3838.434292,0.682,12.2
74.5,97,4.27,26.5,4.59,0.1,3471.247547,0.672,11.9
74.4,96,3.88,25.7,4.32,0.1,2695.366223,0.659,11.4
74.2,98,3.28,24.9,4.52,0.1,299.229676,0.646,11
73.9,99,2.92,24.1,4.66,0.1,1753.4178,0.634,10.6
73.5,11,3.04,23.4,4.72,0.1,158.668462,0.622,10.2
73.1,13,2.96,22.6,4.82,0.1,1288.642924,0.61,9.9
72.7,16,2.91,21.9,4.79,0.1,1148.5857,0.6,9.7
72.2,11,2.84,21.2,4.56,0.1,153.1824,0.592,9.6
71.7,115,3.06,2.5,4.6,0.1,959.372181,0.583,9.5
74.8,143,,57.9,,0.1,644.525556,0.724,13.6
74.6,144,4.38,57.2,7.2,0.1,7913.383432,0.72,13.6
74.4,145,4.41,56.4,6.84,0.1,83.5863,0.712,13.3
74.3,143,4.44,55.7,6.93,0.1,7884.984429,0.707,13.2
74.2,144,4.37,55,6.64,0.1,7227.73968,0.7,13
73.6,15,4.28,54.2,6.76,0.1,625.65544,0.695,12.8
73.6,15,4.34,53.5,7.1,0.1,5148.422113,0.691,12.4
73.5,146,4.45,52.8,6.62,0.1,5433.7245,0.683,12.2
73.5,144,4.66,52,6.25,0.1,4674.21961,0.675,11.9
73.1,147,4.53,51.3,6.11,0.1,379.78776,0.669,11.5
73.1,144,4.38,5.5,5.82,0.1,3386.256,0.658,11.1
72.8,148,4.26,49.8,5.37,0.1,274.249442,0.658,11.3
72.4,15,4.25,49,5.92,0.1,2246.257472,0.659,11.6
71.8,163,4.45,48.2,5.67,0.1,2355.725857,0.656,11.5
71.5,165,4.43,47.5,5.96,0.1,2395.856551,0.653,11.4
71.4,167,4.66,46.7,5.91,0.1,2472.197831,0.65,11.3
63.5,227,,24.2,,0.8,727.6463868,0.498,11.1
63.2,23,0.01,23.7,6.75,0.8,852.954379,0.497,11.1
62.9,233,0.01,23.2,6.51,0.8,834.341949,0.49,10.9
62.5,237,0.01,22.6,7.11,0.8,788.632653,0.484,10.8
62.2,241,0.12,22.1,6.1,0.2,829.7586885,0.479,10.6
61.8,246,0.15,21.6,5.82,0.1,769.1742883,0.476,10.5
61.3,251,0.17,21.1,3.82,0.1,778.5454199,0.465,10.3
61,255,0.12,2.6,5.13,0.1,795.97519,0.461,10.2
66,259,0.16,2.1,4.93,0.1,72.759313,0.459,10
63,262,0.25,19.6,4.57,0.1,648.38717,0.451,9.9
60,266,0.24,19.2,4.32,0.1,621.93372,0.434,9.7
59.8,269,0.27,18.8,3.96,0.1,616.4197236,0,9.5
59.6,271,0.26,18.4,3.65,0.1,544.566526,0,9.2
59.5,271,0.08,18,3.39,0.1,433.2691451,0,8.8
59.5,272,0.08,17.6,2.86,0.1,395.9319363,0,8.5
59.5,272,0.09,17.3,3.56,0.1,375.8528566,0,8.2
64.7,267,,27.4,,2.8,,0.59,11.1
64.2,275,0.01,26.8,5.15,3,,0.581,11.1
63.9,274,0.01,26.2,5.9,3,,0.576,11.1
63.7,273,0.01,25.6,3.98,3.3,,0.557,10.2
62.9,285,3.82,25,2.79,3.5,,0.558,10.7
62,298,3.53,24.5,2.29,3.8,,0.548,10.5
68,314,3.47,23.9,2.27,4,,0.545,10.3
59.4,338,2.58,23.3,2.9,4.3,,0.527,10
58.2,354,2.75,22.8,2.54,5,,0.517,9.8
56.9,368,2.25,22.3,2.37,5.5,,0.507,9.6
55.3,394,2.03,21.7,2.42,5.9,,0.496,9.4
54.1,48,2.58,21.2,2.56,6.3,,0.497,9.2
53.2,417,2.45,2.7,2.61,6.8,,0.492,9.4
52.6,424,2.55,2.3,2.45,7.2,,0.488,9.5
52.7,419,2.3,19.8,2.44,7.6,,0.487,9.7
52.9,416,2.26,19.3,2.13,7.8,,0.487,9.8
,,0.01,82.8,3.58,0.1,,,
79.6,95,,6.5,,0.1,1146.36273,0.775,14.2
79.5,96,3.45,59.5,9.31,0.1,1647.44179,0.768,13.9
79.4,96,3.42,58.5,9.47,0.1,1569.66631,0.762,13.7
79.2,97,3.34,57.5,9.56,0.1,9985.36959,0.758,13.6
79,98,3.41,56.5,9.73,0.1,9186.59639,0.752,13.4
78.1,16,3.58,55.5,9.66,0.1,8199.414621,0.749,13.3
79.2,96,4.07,54.4,9.69,0.1,689.396224,0.747,13.1
78.9,99,4.22,53.4,9.1,0.1,6911.136136,0.74,12.9
78.9,93,4.2,52.4,8.37,0.1,612.623418,0.734,12.8
78,16,4.15,51.4,7.82,0.1,5245.187372,0.727,12.6
78.6,97,4.1,5.3,7.74,0.1,4697.11135,0.723,12.4
77.7,12,4.09,49.3,7.8,0.1,4425.57467,0.719,12.2
78,1,4.04,48.3,8.45,0.1,4167.71417,0.715,12.1
78.3,99,4.17,47.3,8.23,0.1,462.14965,0.712,11.9
77.5,1,4.29,46.4,7.25,0.1,3981.52847,0.708,11.7
77.6,98,4.34,45.4,7.12,0.1,388.363689,0.702,11.6
78,95,,63.7,,0.1,11579.6674,0.823,15.3
77.8,97,12.14,63.1,7.8,0.1,13467.46827,0.82,15.1
77.7,97,12.39,62.5,7.83,0.1,13574.749,0.817,14.9
77.1,14,11.49,61.9,7.8,0.1,13235.97757,0.815,14.6
77,14,12.19,61.3,7.8,0.1,14539.18421,0.808,14.5
76.6,16,12.1,6.6,8.25,0.1,1355.74586,0.803,14.2
76.3,19,12.21,6,8.18,0.1,14157.14416,0.803,14.2
76,116,12.06,59.4,7.7,0.1,15893.8656,0.8,14.3
75.8,114,12.56,58.7,7.44,0.1,13546.69872,0.793,14.3
75.9,113,11.83,58.1,6.95,0.1,11363.41845,0.783,13.9
75.2,116,11.59,57.5,6.89,0.1,1224.2459,0.777,13.6
75.4,114,13.11,56.9,6.56,0.1,9365.742468,0.771,13.3
74.7,122,13.78,56.3,6.35,0.1,785.881418,0.765,12.9
74.8,124,13.39,55.8,6.19,0.1,653.71637,0.759,12.6
74.9,126,13.15,55.2,7.16,0.1,5245.421419,0.749,12.3
74.7,127,12.73,54.7,7.66,0.1,4919.62869,0.739,12.2
79.1,92,,61.4,,0.1,762.261218,0.773,13.9
79,93,4.37,6.7,11.6,0.1,75.5199,0.772,14
78.7,96,4.18,59.9,9.48,0.1,676.15344,0.773,14.7
78.7,96,4.16,59.2,8.59,0.1,6425.941119,0.778,15.7
78.8,92,4.14,58.4,1.6,0.1,675.92436,0.78,16.5
78,98,4.13,57.7,1.19,0.1,5676.14143,0.784,17.6
78.1,11,4.01,56.9,11.78,0.1,5484.7763,0.782,17.7
77.9,12,4.26,56.2,1.79,0.1,5376.447622,0.771,17.1
78.1,14,4.13,55.4,1.42,0.1,5184.494227,0.754,16
78,14,4.17,54.6,7.67,0.1,4669.6916,0.732,14.7
77.2,19,4.48,53.8,9.39,0.1,3779.577,0.719,14.2
77.3,17,4.38,53,6.14,0.1,339.716256,0.705,13.2
77.4,18,4.39,52.1,6.31,0.1,3192.669378,0.694,12.9
77.7,19,4.1,51.3,6.5,0.1,2994.339988,0.692,12.5
76.7,115,4.04,5.4,6.27,0.1,2832.188893,0.686,12.3
76.9,115,3.92,49.4,6.7,0.1,2741.11542,0.679,12.1
85,52,,6.3,,0.1,2375.1127,0.854,14.3
83,53,0.01,59.8,7.37,0.1,2734.88382,0.85,14
81,54,9.04,59.2,7.46,0.1,2797.96736,0.85,13.8
80,56,10.55,58.7,7.44,0.1,28951.15556,0.85,13.8
79.7,57,10.69,58.3,7.54,0.1,32233.83942,0.847,13.8
79.5,59,11.32,57.8,7.23,0.1,3818.46396,0.853,14.6
79.3,6,10.8,57.3,7.4,0.1,3215.8159,0.849,14.1
79.1,62,12.01,56.8,6.89,0.1,3539.7488,0.844,13.7
78.9,63,11.56,56.3,6.5,0.1,31386.63265,0.836,13.5
78.8,64,11.47,55.8,6.28,0.1,27169.99256,0.829,13.4
78.7,65,11.41,55.3,6.37,0.1,25324.48666,0.826,13.5
78.6,65,13.03,54.8,6.42,0.1,23932.49128,0.823,13.4
78.5,66,10.62,54.3,6.83,0.1,2293.4789,0.815,13
78.4,68,11.68,53.8,6.12,0.1,16372.29152,0.805,12.5
78.2,69,10.16,53.3,5.78,0.1,1562.92433,0.8,12.4
78.1,7,9.56,52.8,5.77,0.1,14672.8826,0.798,12.5
78.8,86,,66.1,,0.1,,,
78.6,88,12.68,65.6,7.41,0.1,,,
78.2,9,12.45,65.1,7.49,0.1,,,
78,93,12.71,64.5,7.55,0.1,,,
77.8,97,12.43,64,7.5,0.1,,,
77.5,99,12.69,63.6,7.43,0.1,,,
77.1,12,13.23,63.1,7.85,0.1,,,
77,16,13.25,62.6,6.82,0.1,,,
76.8,17,13.43,62.2,6.52,0.1,,,
76.5,19,13.03,61.8,6.69,0.1,,,
75.9,114,13.19,61.3,6.93,0.1,,,
75.8,116,13.24,6.8,6.9,0.1,,,
75.2,122,13.01,6.4,7.13,0.1,,,
75.3,12,13.47,59.9,6.8,0.1,,,
75.1,123,13.36,59.4,6.42,0.1,,,
74.7,126,13.22,59,6.31,0.1,,,
76,139,,32.9,,0.1,,,
73,142,0.01,32.4,,0.1,,,
71,146,3.35,31.8,,0.1,,,
69.8,149,3.61,31.3,,0.1,,,
69.4,153,3.39,3.8,,0.1,,,
69,157,3.12,3.3,,0.1,,,
68.7,161,3.35,29.7,,0.1,,,
68.6,164,3.16,29.2,,0.1,,,
68.5,166,3.13,28.7,,0.1,,,
68.5,165,3.28,28.2,,0.1,,,
68.5,165,3.21,27.7,,0.1,,,
68.4,165,3.13,27.2,,0.1,,,
68.1,165,3.13,26.7,,0.1,,,
67.6,167,3.08,26.2,,0.1,,,
66.6,177,2.53,25.7,,0.1,,,
65.4,192,3.52,25.2,,0.1,,,
59.8,258,,21.6,,1.1,,,
59.3,266,0.01,21.1,4.33,1.1,,,
58.8,272,0.01,2.6,3.89,1.2,,,
58.3,277,0.01,2.1,3.77,1.5,,,
57.9,278,1.82,19.6,3.53,1.6,,,
57.4,283,1.81,19.1,4.4,1.6,,,
56.7,292,2.13,18.6,5.61,1.7,,,
56.3,295,2.09,18.2,4.46,1.8,,,
55.7,299,1.52,17.8,3.61,1.9,,,
55,36,1.53,17.3,3.39,2,,,
54.3,314,1.43,16.9,3.14,2,,,
53.5,323,1.44,16.5,3.34,2.1,,,
52.8,332,1.83,16.1,3.2,2.2,,,
52.1,341,1.85,15.7,2.59,2.4,,,
51.8,34,1.9,15.3,2.67,2.4,,,
51.3,346,1.98,14.9,1.45,2.5,,,
86,71,,58.8,,0.1,5314.64416,0.923,19.2
84,73,9.64,58.4,1.8,0.1,62425.5392,0.926,19.2
81,75,9.5,58.1,11.25,0.1,61191.19263,0.924,18.7
80,76,9.26,57.7,1.98,0.1,5857.521,0.922,18.4
79.7,79,10.47,57.4,1.87,0.1,61753.667,0.91,16.9
79.2,84,10.28,57,11.8,0.1,5841.41122,0.906,16.8
78.9,86,10.08,56.6,11.47,0.1,58163.29359,0.906,16.8
78.8,88,10.7,56.3,1.18,0.1,64322.6664,0.906,16.8
78.4,93,10.99,55.9,9.99,0.1,58487.451,0.904,16.7
78.1,93,11.02,55.4,9.92,0.1,5226.99311,0.902,16.9
78.1,92,11.28,55,9.77,0.1,48799.8237,0.897,16.6
77.7,98,11.27,54.4,9.67,0.1,46511.6457,0.893,16.5
77.3,11,11.54,53.9,9.51,0.1,4458.7764,0.882,16.3
77,14,11.34,53.3,9.33,0.1,33228.69291,0.875,16.6
77,12,11.56,52.8,9.1,0.1,3751.64946,0.862,16.2
76.9,12,11.69,52.2,8.7,0.1,3743.55917,0.86,16.5
63.5,241,,35,,2.1,1862.167274,0.47,6.3
63,252,0.38,34.4,1.57,2.1,174.91511,0.467,6.3
62.7,256,0.53,33.8,9.14,2.1,1622.637974,0.464,6.3
62.2,263,0.52,33.2,8.95,1.9,1536.15685,0.46,6.3
61.8,268,0.39,32.7,8.71,2.7,143.986898,0.451,5.9
61.3,273,0.44,32.2,8.84,3.1,1325.99724,0.441,5.5
69,279,0.49,31.7,8.37,3.2,1253.657431,0.436,5.3
62,289,0.49,31.3,8.5,3.3,1214.77118,0.427,5
59.8,296,0.45,3.9,7.72,3.5,147.586896,0.416,4.5
59.1,39,1.02,3.6,7.5,3.7,965.6693779,0.405,4.3
58.6,318,1.23,3.2,7.21,3.9,94.7297489,0.396,4
58.1,326,1.18,29.8,6.76,4,864.184726,0.388,3.7
58,325,1.02,29.4,6.22,4.2,819.974118,0.378,3.5
57.9,322,1.03,29,5.45,4.3,792.15412,0.372,3.3
57.7,323,0.95,28.6,5.37,4.3,781.2322196,0.363,2.9
57.4,325,1.34,28.2,5.75,4.1,768.176767,0.361,2.9
,,0.01,58.4,5.58,0.1,722.75665,0.721,12.7
73.9,152,,58.9,,0.3,6468.471648,0.718,13.2
73.6,154,5.92,57.9,4.38,0.3,6268.692122,0.712,13.2
73.4,157,5.93,56.8,4.12,0.3,627.55544,0.709,13.2
72.1,174,5.93,55.8,4.26,0.4,5968.876767,0.706,13.1
73.1,16,5.91,54.7,4.22,0.7,5759.643,0.703,13
72.7,166,6.02,53.6,4.6,0.9,5451.6696,0.697,12.9
73.6,157,6.05,52.6,4.41,1.2,4952.67753,0.695,12.9
73.3,161,6.12,51.5,4.2,1.4,511.37937,0.692,12.8
72.9,164,6.05,5.4,4.34,1.6,4647.31359,0.685,12.7
72.3,178,6.2,49.3,4.34,1.8,3836.468771,0.677,12.6
69.7,28,5.71,48.2,4.26,2,3681.5993,0.668,12.6
69.3,214,5.16,47.2,4.28,2.1,2421.9662,0.666,12.5
73,22,6.32,46.1,5.53,2.3,2372.628827,0.665,12.4
71.4,189,6.43,45.1,5.79,2.4,38.46578,0.66,12.3
71.2,188,6.13,44.1,5.59,2.5,2862.154836,0.656,12.3
72,176,6.58,43.1,5.9,2.5,282.4242,0.651,12.2
76.2,118,,54.2,,0.1,625.62224,0.739,14
76,121,3.82,53.5,9.16,0.1,6432.216537,0.737,14
76,121,3.77,52.8,7.29,0.1,674.9829,0.725,13.4
75.5,127,3.92,52.1,6.48,0.1,572.14313,0.717,13.3
75.3,131,3.99,51.4,5.92,0.1,5223.351763,0.71,13.2
75,134,3.95,5.7,5.9,0.1,4657.32361,0.703,13.1
75.1,137,3.87,5,5.58,0.1,4255.56571,0.702,13.1
74.6,139,3.76,49.3,5.66,0.1,4274.95265,0.698,13
74.7,14,3.63,48.6,5.94,0.2,359.71886,0.696,12.9
74.4,144,3.52,47.9,5.86,0.3,335.786541,0.693,12.8
74.2,151,3.54,47.2,5.87,0.3,321.942547,0.688,12.8
74.4,148,3.65,46.5,6.22,0.3,278.557892,0.682,12.7
74.4,151,3.69,45.8,6.46,0.3,244.46898,0.679,12.6
73.6,157,3.88,45.1,4.62,0.3,2183.966796,0.675,12.5
73.4,158,4.13,44.3,3.86,0.3,193.741571,0.67,12.4
72.8,163,3.99,43.6,3.38,0.3,1451.29776,0.668,12.4
79,159,,61.1,,0.1,,0.688,13.1
78,161,0.21,6.2,5.64,0.1,,0.686,13.1
79,159,0.21,59.4,5.46,0.1,,0.681,12.8
72,165,0.23,58.6,5.29,0.1,,0.673,12.4
74,168,0.22,57.8,5.4,0.1,,0.671,12.4
70,173,0.22,57,4.8,0.1,,0.665,12.2
69.9,174,0.21,56.2,5.1,0.1,,0.659,12
69.8,172,0.24,55.5,4.82,0.1,,0.651,11.9
69.7,171,0.21,54.8,4.95,0.1,,0.644,11.7
69.5,175,0.18,54.2,5.24,0.1,,0.636,11.5
69.4,174,0.16,53.5,5.6,0.1,,0.629,11.4
69,176,0.16,52.9,5.21,0.1,,0.623,11.2
68.6,178,0.15,52.3,5.41,0.1,,0.621,11.3
68.7,177,0.15,51.8,5.97,0.1,,0.617,11.2
68.6,177,0.14,51.2,5.75,0.1,,0.612,11.1
68.8,171,0.14,5.7,5.55,0.1,,0.606,11
73.5,178,,56.1,,0.2,4127.11775,0.678,13.2
73.3,181,2.52,55.4,6.77,0.2,3988.771871,0.676,13.2
73,184,2.42,54.7,6.95,0.2,3895.664491,0.675,13.2
73,181,2.48,54.1,6.7,0.3,3827.786267,0.67,13.2
72,197,2.37,53.4,6.81,0.3,3736.58713,0.666,13
72,191,2.36,52.8,6.91,0.3,3474.392445,0.662,12.9
71.4,23,2.55,52.1,6.83,0.3,3366.482133,0.662,12.8
71.7,194,2.68,51.4,6.21,0.3,357.347674,0.659,13.4
71.2,23,2.83,5.8,6.32,0.3,334.83817,0.657,12.9
75,211,2.77,5.1,6.68,0.2,362.951768,0.651,12.9
71,213,2.77,49.4,7.19,0.2,2835.281237,0.644,12.7
70,215,2.9,48.6,7.3,0.3,2632.79942,0.636,12.4
69.9,29,3.1,47.8,7.61,0.3,2519.737387,0.628,12
73,24,2.97,47,7.9,0.4,248.4125,0.621,11.8
68.9,219,2.88,46.2,8.2,0.4,2338.772244,0.615,11.6
69,218,2.79,45.3,8.17,0.4,2238.4116,0.607,11.3
58.2,32,,24.5,,4.2,1347.31257,0.582,9.2
57.9,32,0.01,24,3.8,4.4,192.59733,0.582,9.2
57.4,327,10.72,23.5,3.73,5.7,2246.9938,0.586,9.2
